"Name","Score","Rank","T.Score","T.Rank","player1","player2","player3","player4","player5","player6","The Explorer I","The Explorer II","The Explorer III","The Heretic I","The Heretic II","The Heretic III","Slow and Steady I","Slow and Steady II","Slow and Steady III","The Politician I","The Politician II","The Politician III","The Pious I","The Pious II","The Pious III","Nature's Ally I","Nature's Ally II","Nature's Ally III","Avarice I","Avarice II","Avarice III","The Inheritor I","The Inheritor II","The Inheritor III","Gelatinous Body I","Gelatinous Body II","Gelatinous Body III","Lord of Darkness I","Lord of Darkness II","Lord of Darkness III","Spiteful I","Spiteful II","Spiteful III","Speed Demon I","Speed Demon II","Speed Demon III","Nemelex' Choice I","Nemelex' Choice II","Nemelex' Choice III","The Conqueror I","The Conqueror II","The Conqueror III","The Prophet I","The Prophet II","The Prophet III","The Ascetic I","The Ascetic II","The Ascetic III","The Lorekeeper I","The Lorekeeper II","The Lorekeeper III","Vow of Courage I","Vow of Courage II","Vow of Courage III","Brute Force I","Brute Force II","Brute Force III","Graceful I","Graceful II","Graceful III","Ruthless Efficiency I","Ruthless Efficiency II","Ruthless Efficiency III","Descent into Madness I","Descent into Madness II","Descent into Madness III","The Harvest I","The Harvest II","The Harvest III","Angel of Justice I","Angel of Justice II","Angel of Justice III"
"course 27 (estick)",133.947,84,1945,96,"estick",NA,NA,NA,NA,NA,"","","X","","","","X","","","","X","","","X","","","X","","","X","","","","","X","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","","X","","","","","X","","","","","","","X","","","X","","","","X"
"TheAcademyOfTomorrowMans (lexackson)",133.272,85,2470,87,"lexackson",NA,NA,NA,NA,NA,"","X","","","","","X","","","","X","","","X","","X","","","","X","","","","","","X","","","","","","","","","","X","","","","","X","","","X","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"CanardsCrawlers (nattefrost)",131.204,86,6139,42,"nattefrost","canard","dirian","gigax","gobbopathe",NA,"","X","","","","","X","","","","X","","","X","","X","","","","X","","","","","","X","","X","","","","","","","X","","","","","","X","","","X","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","X",""
"Where In The Tomb Is Carmen Sandiego (almacia)",119.622,87,4308,61,"almacia","cosmicafro","dri","remliel","righteousdevil","theonedm","","","X","","","","X","","","X","","","X","","","","X","","","X","","X","","","X","","","X","","","","","","","X","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"wu-tang council (mandarbmax)",117.782,88,962,114,"mandarbmax","sicily",NA,NA,NA,NA,"","X","","","","","X","","","X","","","","X","","","","","","X","","","X","","X","","","X","","","X","","","","X","","X","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"GnollPointerError (slowgraham)",116.988,89,2832,83,"slowgraham","wendy","esekla","larett",NA,NA,"","X","","","","","","X","","X","","","","X","","X","","","","X","","","","","","X","","X","","","","","","","","","","","","","X","","","X","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","X","",""
"TanksAlot (malchor)",116.621,90,5031,56,"malchor","feihao","galeswift","acluon","craftbrews",NA,"","X","","X","","","X","","","X","","","","X","","X","","","","X","","","","","","X","","X","","","","","","","","","","","","","X","","","X","","X","","","","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"DoomKitty (loopi)",113.017,91,1239,106,"loopi",NA,NA,NA,NA,NA,"","X","","X","","","X","","","","X","","X","","","X","","","","X","","","","","X","","","X","","","","","","X","","","X","","","","X","","","X","","X","","","X","","","","","","","","","X","","","","","","X","","","","X","","X","",""
"CanardsB (libidonplus)",110.417,92,3435,73,"libidonplus","dorian","ketzopolo","mortelune",NA,NA,"","","X","","","","X","","","X","","","X","","","","X","","","X","","","","","X","","","X","","","X","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"Way of the exploding fish (braks)",108.882,93,331,128,"braks",NA,NA,NA,NA,NA,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","X","","","","","X","","","","","","","","","X","","","X","","","X","","","","","","X","","","X","","","X","","","","",""
"TOROGU SAIKYO (nkym)",107.043,94,1870,98,"nkym",NA,NA,NA,NA,NA,"","","X","X","","","X","","","","X","","X","","","","X","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","","X","","","X","","","","X"
"The juiceboys (xlukarx)",103.523,95,2602,86,"xlukarx","mansion","lukarsbuttslave",NA,NA,NA,"","X","","","","","X","","","","X","","X","","","","X","","","X","","","","","X","","","X","","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","","X","","","X","","","X",""
"Raiders of the Lost Zot (skilld14)",102.867,96,3074,79,"skilld14","djent","psymar","adept","fww","plussizemalemodel","","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","X","","","X","","","X","","","X","","","X","",""
"Troubled Troops (othur)",100.061,97,1705,102,"othur","plantmann",NA,NA,NA,NA,"","X","","","","","X","","","","","","X","","","X","","","","X","","","X","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"Zin Censorship of The Color Purple (coolio)",98.535,98,1008,113,"coolio","whaleporn",NA,NA,NA,NA,"X","","","","","","X","","","X","","","","X","","","","","","X","","X","","","X","","","X","","","","","","","X","","X","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","X","","","","X","","","",""
"javacore (syranez)",97.547,99,2199,90,"syranez","plasmo",NA,NA,NA,NA,"","X","","","","","","X","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","X","","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","","X","","","X","","","","X"
"GWJ - Gnoll Means Gnoll (tboon)",96.588,100,3250,75,"tboon","godzillablitz","clumber","quasichaos","senkrad","taharka","","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","X","","","","","X","","X","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Ogre 9000 (charmandara)",95.625,101,1228,107,"charmandara","warped",NA,NA,NA,NA,"","X","","","","","X","","","X","","","X","","","","","","","X","","X","","","X","","","X","","","","","","","","X","","X","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"MFC Statistically Xomlikely (apoch)",94.945,102,3512,71,"apoch","hildebrand","aubilenon","laceratedsky","omnomnominous","tkappleton","","X","","","","","X","","","","","","X","","","X","","","","X","","","X","","X","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","X","",""
"Sophististache (bionic)",94.88,103,3130,77,"bionic","apparentbliss","sollaires",NA,NA,NA,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","","X","","X","","","X","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"HoldTab (ricardofg)",89.416,104,1773,99,"ricardofg","frisk",NA,NA,NA,NA,"","","X","X","","","X","","","","","","X","","","","X","","","X","","","","","","","","X","","","","","","","X","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","","X"
"In Soviet Ru Drink Sacrifices You (defenestrate)",87.139,105,623,119,"defenestrate",NA,NA,NA,NA,NA,"X","","","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"Vehumet Denials (eyebeam)",77.637,106,854,116,"eyebeam",NA,NA,NA,NA,NA,"X","","","","","","X","","","X","","","X","","","X","","","","X","","","X","","X","","","X","","","","","","","","","","","","","X","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Splat-tastic (drmcmeen)",73.671,107,2147,92,"drmcmeen","darthra","sarak","stanlydoodrich",NA,NA,"","X","","","","","X","","","","","","X","","","X","","","","X","","","X","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"CRAWL dot XTAHUA dot COM - RAWR (xtahua)",66.772,108,1161,112,"xtahua","emtedronai",NA,NA,NA,NA,"","X","","X","","","","","","","X","","X","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","X","","","","","X"
"And My Axe (woodford)",66.425,109,2356,89,"woodford","gemini00",NA,NA,NA,NA,"","X","","","","","","X","","","","","","X","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","X","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","X","","","",""
"Slain by a Quokka (minsecho)",65.741,110,2112,94,"minsecho","becksghost","goshheckie","lobsterguardian","olmar",NA,"X","","","X","","","X","","","","","","","X","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Contribution to the Environment (firemonkey)",59.876,111,563,120,"firemonkey",NA,NA,NA,NA,NA,"X","","","X","","","X","","","X","","","X","","","X","","","","X","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","","","","X","","","","",""
"42 (glorfindel)",59.144,112,309,129,"glorfindel",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","",""
"Dungeon Runners (clownkicker)",55.265,113,3033,80,"clownkicker","bovrilthebat","edp","goodxknight","pinata","slothferatu","","X","","","","","X","","","","","","X","","","X","","","","X","","","","","X","","","","","","","","","","","","","","","","X","","X","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"APE (biblin)",49.577,114,1413,105,"biblin","baljet",NA,NA,NA,NA,"X","","","","","","","X","","","","","X","","","","","","","X","","","","","","","","X","","","","","","","","","X","","","","X","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Cannot win for losing (zlionsfan)",47.714,115,401,124,"zlionsfan",NA,NA,NA,NA,NA,"X","","","","","","X","","","X","","","","X","","X","","","X","","","","","","X","","","X","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","X","","","","",""
"Something Inappropriate (yooby)",46.455,116,937,115,"yooby","shazbot",NA,NA,NA,NA,"","X","","","","","X","","","X","","","","X","","X","","","","X","","","","","X","","","","","","","","","","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","X","","","","",""
"ANT CLIMATIC (tv1990)",44.882,117,1726,100,"tv1990","theswoord",NA,NA,NA,NA,"","X","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","X","","","","","X","","","","","","X","","","X","","","","",""
"Incurable Boneitis (hatguy)",42.166,118,536,121,"hatguy","doomlord",NA,NA,NA,NA,"","X","","","","","X","","","X","","","X","","","X","","","","X","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","","","","X","","","X","",""
"BananaBoat (sorlin)",42.156,119,1212,108,"sorlin",NA,NA,NA,NA,NA,"","X","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"Something Something Grassy Gnoll (brutalitops)",38.644,120,418,122,"brutalitops","lastplaneout","ungratefuldead",NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","X","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","",""
"Wu Jiang Clan (fourba)",38.274,121,1194,110,"fourba","coolguy96","mustachioooo",NA,NA,NA,"X","","","","","","X","","","","","","X","","","X","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","","X","","","",""
"Kraithan Or Bust (aeraethus)",37.95,122,1514,103,"aeraethus","dakvas","drenieon","rb",NA,NA,"X","","","","","","X","","","","","","X","","","X","","","","X","","","","","","","","X","","","","","","","","","","","","","X","","","","","X","","","X","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"XomBae (xombae)",35.84,123,719,118,"xombae",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"MFC One Geryon and One Personal Item (sleevener)",35.534,124,218,135,"sleevener",NA,NA,NA,NA,NA,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","X","","","X","","","","","","X","","","","","","","","","","","","","",""
"Slouches towards Holy Pan to be born (neil)",34.482,125,749,117,"neil",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","","X","","","","","X","","","","","","","","","","X","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","",""
"apocalypse me daddy ru (sysice)",33,126,1178,111,"sysice",NA,NA,NA,NA,NA,"X","","","","","","","X","","","","","X","","","","","","X","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","",""
"DungeonTourist (dplusplus)",31.679,127,353,127,"dplusplus",NA,NA,NA,NA,NA,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"Punishment from Crawl (ystaelle)",26.541,128,413,123,"ystaelle",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","X","","","","",""
"team titans (krigyl)",26.419,129,375,126,"krigyl","errantdog",NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Bay12 Blacksmiths (bluedave)",26.419,129,154,137,"bluedave",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","X","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"The Shining Buns (jermanator181)",24.223,131,264,132,"jermanator181",NA,NA,NA,NA,NA,"X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Lone Rainger (raine357)",23.463,132,135,138,"raine357",NA,NA,NA,NA,NA,"X","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Sisters In Arms (dragonlass)",19.959,133,379,125,"dragonlass","kellsagain",NA,NA,NA,NA,"X","","","","","","X","","","X","","","X","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","",""
"Atodaso (razgard)",16.197,134,290,130,"razgard","sleepydude",NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","","","","","","","","X","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Green Armaments of Lemons (asiagounicorn)",14.46,135,235,134,"asiagounicorn","itrustedyou",NA,NA,NA,NA,"X","","","","","","X","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"M99 (harriot)",14.156,136,268,131,"harriot",NA,NA,NA,NA,NA,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"MopnGlo (rcreutzb)",12.726,137,263,133,"rcreutzb",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","X","","","","",""
"Gnolls Barkley (nucleardonut)",11.324,138,124,142,"nucleardonut",NA,NA,NA,NA,NA,"X","","","","","","","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nameofteam (saltisreal)",8.299,139,179,136,"saltisreal",NA,NA,NA,NA,NA,"X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","",""
"HaCK and Slash (kingbobson)",8.179,140,135,138,"kingbobson","ranglespleeg",NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","",""
"SCUM (abeheron)",7.78,141,132,140,"abeheron","quarterback16",NA,NA,NA,NA,"X","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Vicious Vampires (shimmeringsnowflakes)",6.739,142,128,141,"shimmeringsnowflakes","wings","xyaxazz",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","X","","","","","","","",""
"Jalapena (ajbrad)",3.472,143,85,143,"ajbrad",NA,NA,NA,NA,NA,"X","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crawl Died 3 Years Ago (stoats)",1.366,144,25,144,"stoats",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"Gnolls before holes (rodrick)",0,145,20,145,"rodrick",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bees to Meet You (cacticus)",0,145,0,146,"cacticus",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cheighis Khan (bloax)",0,145,0,146,"bloax",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cheighis Khan (acousticbigger)",0,145,0,146,"acousticbigger",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malmuthaters (cab)",0,145,0,146,"cab",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" Leos Chameleos (spaghetti)",0,145,0,146,"spaghetti",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
